City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,pombas,17.15,-25.02,71.6,64,20,19.46,CV,1582486362
1,cape town,-33.93,18.42,73.0,52,0,16.11,ZA,1582486177
2,tasiilaq,65.61,-37.64,12.2,66,76,11.41,GL,1582486362
3,hermanus,-34.42,19.23,64.0,75,0,8.01,ZA,1582486362
4,barrow,71.29,-156.79,-27.4,74,1,11.41,US,1582486362
5,pevek,69.7,170.31,-14.17,99,100,5.55,RU,1582486363
6,esperance,-33.87,121.9,66.2,88,90,9.17,AU,1582486363
7,new norfolk,-42.78,147.06,57.0,82,100,4.7,AU,1582486363
8,upernavik,72.79,-56.15,-18.54,84,0,7.31,GL,1582486363
9,jamestown,42.1,-79.24,48.0,24,1,16.11,US,1582486363
10,nemuro,43.32,145.57,28.0,81,31,16.58,JP,1582486363
11,mandera,3.94,41.87,79.0,15,0,1.01,KE,1582486363
12,butaritari,3.07,172.79,84.88,77,92,13.96,KI,1582486364
13,torbay,47.67,-52.73,36.0,69,20,24.16,CA,1582486364
14,fort nelson,58.81,-122.7,21.2,48,20,3.36,CA,1582486364
15,shubarkuduk,49.14,56.49,16.63,90,87,12.86,KZ,1582486364
16,hithadhoo,-0.6,73.08,83.25,77,89,16.62,MV,1582486364
17,kapaa,22.08,-159.32,75.2,73,1,6.93,US,1582486146
18,hamilton,39.18,-84.53,52.0,34,90,12.75,US,1582486229
19,burnie,-41.07,145.92,54.0,86,100,5.01,AU,1582486364
20,bethel,41.37,-73.41,55.0,23,1,9.17,US,1582486159
21,lorengau,-2.02,147.27,83.21,72,100,5.19,PG,1582486365
22,darnah,32.77,22.64,55.81,63,90,21.18,LY,1582486365
23,georgetown,5.41,100.34,80.6,74,20,3.36,MY,1582486365
24,beidao,34.57,105.89,36.61,89,9,2.37,CN,1582486365
25,port lincoln,-34.73,135.87,65.8,83,0,6.82,AU,1582486365
26,ushuaia,-54.8,-68.3,48.2,81,90,23.04,AR,1582486138
27,zhigansk,66.77,123.37,-13.77,97,99,10.83,RU,1582486365
28,vaini,-21.2,-175.2,78.8,94,40,8.05,TO,1582486366
29,avarua,-21.21,-159.78,78.8,94,100,1.12,CK,1582486366
30,port moresby,-9.44,147.18,75.2,100,75,11.41,PG,1582486366
31,bredasdorp,-34.53,20.04,66.2,55,1,13.87,ZA,1582486366
32,puerto ayora,-0.74,-90.35,84.2,74,20,11.41,EC,1582486240
33,bluff,-46.6,168.33,52.0,92,73,4.0,NZ,1582486289
34,albany,42.6,-73.97,51.8,29,75,3.36,US,1582486158
35,rikitea,-23.12,-134.97,79.29,73,6,10.96,PF,1582486367
36,bandar,2.05,99.75,72.63,91,29,0.94,ID,1582486367
37,klaksvik,62.23,-6.59,37.4,64,33,23.04,FO,1582486367
38,atuona,-9.8,-139.03,81.59,76,19,13.69,PF,1582486367
39,buxton,53.26,-1.91,44.6,75,20,4.7,GB,1582486367
40,faanui,-16.48,-151.75,82.67,70,66,10.54,PF,1582486138
